image_id,image_path,mode,alpha,alpha_eff,mask_mean,psnr,ssim,rec_psnr,rec_ssim,ncc,ber,qr_decoded,frob_predicted,frob_measured,psnr_predicted,weyl_bound_max,mirsky_bound_max
coco_000000000139,images/coco_000000000139.png,svd_only,0.001,0.001,1.0,60.568435455886885,0.9998768326588219,2.725866637074899,0.3064624305071985,0.3288763115139358,0.6143913269042969,0,187.78425772678605,211.81123671797963,61.61423173914949,94.69351377304604,108.41729174813389
coco_000000000139,images/coco_000000000139.png,svd_only,0.005,0.005,1.0,50.27827048691714,0.9995886492281433,10.270539305926203,0.8140292134447508,0.9599334734771744,0.042964935302734375,1,938.9212886339302,692.5597447152123,47.63483165242911,473.46756886523013,542.0864587406695
coco_000000000139,images/coco_000000000139.png,svd_only,0.01,0.01,1.0,43.26171257181963,0.9989519413600356,15.498319481206796,0.9221957939043425,0.9934570754833237,1.1444091796875e-05,1,1877.8425772678604,1553.4065791028438,41.61423173914949,946.9351377304603,1084.172917481339
coco_000000000139,images/coco_000000000139.png,svd_only,0.02,0.02,1.0,36.44676762774832,0.9970218844464672,21.271188887343154,0.9687760146272847,0.9985338375487681,0.0,1,3755.685154535721,3404.3357648739643,35.59363182586987,1893.8702754609205,2168.345834962678
coco_000000000139,images/coco_000000000139.png,svd_only,0.05,0.05,1.0,27.975548293794958,0.9850630961377388,29.03922240666349,0.9929929037134532,0.9997930732730234,0.0,1,9389.212886339303,9028.037494383816,27.634831652429117,4734.675688652302,5420.864587406695
coco_000000000139,images/coco_000000000139.png,svd_only,0.1,0.1,1.0,21.78636559170398,0.948015800023191,34.60957979065534,0.9979048375542859,0.9999514429116063,0.0,1,18778.425772678605,18409.944921156064,21.614231739149496,9469.351377304603,10841.72917481339
coco_000000000139,images/coco_000000000139.png,svd_texture,0.001,0.0002585107659186108,0.17612307324290083,60.568435455886885,0.9998768326588219,3.770067368396308,0.45812818756279544,0.4012458426664252,0.42285919189453125,0,48.54425229240927,211.81123671797963,73.36465905115494,24.47929277299465,28.027037128631576
coco_000000000139,images/coco_000000000139.png,svd_texture,0.005,0.0012925538295930539,0.17612307324290083,60.567757891641165,0.9998768304343901,2.5256883952018994,0.278451994053867,0.32443698261118503,0.6463775634765625,0,242.72126146204633,211.8277602204206,59.38525896443458,122.39646386497323,140.13518564315785
coco_000000000139,images/coco_000000000139.png,svd_texture,0.01,0.0025851076591861077,0.17612307324290083,58.45156989738601,0.9998352689203139,3.2436846885761765,0.3643416761399534,0.5321172017719162,0.6842002868652344,0,485.44252292409266,270.266535109325,53.36465905115495,244.79292772994646,280.2703712863157
coco_000000000139,images/coco_000000000139.png,svd_texture,0.02,0.0051702153183722155,0.17612307324290083,50.02861582261518,0.999595238374971,10.392984805801866,0.8193366064309031,0.9639833155861605,0.04283905029296875,1,970.8850458481853,712.7545159450061,47.34405913787533,489.5858554598929,560.5407425726314
coco_000000000139,images/coco_000000000139.png,svd_texture,0.05,0.012925538295930539,0.17612307324290083,40.677762858527046,0.9984537440243964,17.626955106096922,0.943079360356016,0.9961307669510473,0.0,1,2427.2126146204632,2091.6192292097526,39.38525896443457,1223.9646386497325,1401.3518564315787
coco_000000000139,images/coco_000000000139.png,svd_texture,0.1,0.025851076591861078,0.17612307324290083,34.0225571301677,0.9954193843286206,23.49534510890358,0.9793566908703162,0.9991680056234626,0.0,1,4854.4252292409265,4500.3149889757715,33.364659051154945,2447.929277299465,2802.7037128631573
coco_000000000139,images/coco_000000000139.png,svd_yolo,0.001,0.0003450278103344204,0.27225312259380047,60.568435455886885,0.9998768326588219,3.5761144865077994,0.4291680521095727,0.3862953851399829,0.43752288818359375,0,64.79079125874746,211.81123671797963,70.85714969924877,32.67189570998635,37.40698077424666
coco_000000000139,images/coco_000000000139.png,svd_yolo,0.005,0.0017251390516721022,0.27225312259380047,60.50863790516013,0.9998759375509452,2.3705501665744406,0.25603507779433626,0.3385763659036156,0.6771316528320312,0,323.9539562937373,213.27447104611466,56.87774961252838,163.35947854993177,187.03490387123335
coco_000000000139,images/coco_000000000139.png,svd_yolo,0.01,0.0034502781033442045,0.27225312259380047,54.934556756099546,0.9996082077934235,5.246798568695831,0.5622104691096443,0.7549088836196094,0.5471000671386719,0,647.9079125874746,405.1752707162667,50.85714969924876,326.71895709986353,374.0698077424667
coco_000000000139,images/coco_000000000139.png,svd_yolo,0.02,0.006900556206688409,0.27225312259380047,47.31231932142616,0.9993229966841137,11.81967093242253,0.8637407399027731,0.9804696140753563,0.00182342529296875,1,1295.8158251749492,974.4393259716071,44.83654978596913,653.4379141997271,748.1396154849334
