mode,alpha,alpha_eff_mean,mask_mean_mean,n_images,psnr_mean,psnr_std,ssim_mean,ssim_std,rec_psnr_mean,rec_psnr_std,ncc_mean,ncc_std,ber_mean,ber_std,qr_success_rate,psnr_predicted_mean
svd_only,0.001,0.0010000000000000002,1.0,100,60.440109775578875,2.0221354072008033,0.9996140134144018,0.0005047459554796594,2.874902875086538,0.44872572798347,0.3774677242611453,0.05742932134509567,0.6239934158325195,0.049046784241027486,0.0,61.61423173914951
svd_only,0.005,0.004999999999999999,1.0,100,50.58380203839186,0.4966508030241787,0.999318675467368,0.0005065712867258396,9.38069032597863,1.0719850992580702,0.9540526621102835,0.023013893626190513,0.11877456665039063,0.11238518478488467,0.97,47.63483165242911
svd_only,0.01,0.009999999999999998,1.0,100,43.55209615106155,0.6341706444019645,0.998707602569266,0.0006148962744796202,14.128998451839596,2.0275621499591705,0.9889236299754088,0.017804430706409847,0.019374008178710937,0.09583326024932201,0.98,41.61423173914949
svd_only,0.02,0.019999999999999997,1.0,100,36.889829699240536,0.7818880792125351,0.996480085662126,0.001350236117806409,17.83640324067088,3.6540495279790934,0.9914403641068923,0.02112800110471939,0.016169891357421876,0.09262694758984294,0.98,35.59363182586988
svd_only,0.05,0.04999999999999999,1.0,100,28.701036196374442,0.9643416756358106,0.9832360379666965,0.005490232063157072,19.81055593617084,6.28111119595006,0.985965301886277,0.02690002395566835,0.01823619842529297,0.09559948901391316,0.95,27.634831652429117
svd_only,0.1,0.09999999999999998,1.0,100,22.867432322754418,1.12596491203232,0.9467818295704247,0.014092335047325214,18.352858475388288,7.069428311733669,0.9785802630726022,0.03252172639013131,0.02922229766845703,0.11411401863900836,0.9,21.614231739149496
svd_texture,0.001,0.00026218008979182186,0.1802000997686909,100,60.44483705864869,2.0255082854449147,0.9996140707037858,0.0005047313356914226,4.128569924069399,0.7443439330978225,0.43414637807105505,0.0732728897474879,0.4218346405029297,0.07455348822906659,0.0,73.45720800767101
svd_texture,0.005,0.001310900448959109,0.1802000997686909,100,60.39376265982225,2.001190648865528,0.9996132779421348,0.0005043394784807996,2.6927363619941764,0.47409600800115087,0.38178198466809676,0.05890978935514522,0.647961082458496,0.051982773027179845,0.0,59.47780792095064
svd_texture,0.01,0.002621800897918218,0.1802000997686909,100,57.453741194315825,2.1818954453789687,0.9995534489513463,0.0004965448589336922,4.031202416367286,1.5369051650310648,0.624561926472583,0.17097320283819184,0.6189064788818359,0.11577556159120911,0.05,53.45720800767103
svd_texture,0.02,0.005243601795836436,0.1802000997686909,100,50.34289453812132,2.243279406694296,0.9993068665889179,0.0004741677023663278,9.397716823331029,1.9873457454441146,0.9380827886817462,0.06722039051575071,0.14732635498046875,0.17008798620865428,0.88,47.436608094391396
svd_texture,0.05,0.013109004489591094,0.1802000997686909,100,41.1585519167691,2.22299566814657,0.9981868029036984,0.0006383731312493829,15.476847786497832,2.7387731606531096,0.9906776212888758,0.01811278775494887,0.017192497253417968,0.09316039169702509,0.98,39.477807920950646
svd_texture,0.1,0.026218008979182188,0.1802000997686909,100,34.65644491823807,2.150924543082081,0.9945522225257899,0.0020285473342584754,18.547156967128174,4.361859830877682,0.9904675139635204,0.022004679332381604,0.015980644226074217,0.09218870037835798,0.97,33.45720800767103
svd_yolo,0.001,0.0006081614943032447,0.5646238825591609,100,60.44483345172748,2.0255090420125277,0.9996140705710205,0.0005047314025107129,3.5019153534024996,0.8896251880944982,0.40043112529076164,0.07603929178685626,0.5202753067016601,0.11124014496838282,0.0,66.98375366994591
svd_yolo,0.005,0.003040807471516223,0.5646238825591609,100,55.815178068974795,3.8016957241073612,0.9995031343494469,0.0005300922171064035,5.572981471661489,2.6023280177424697,0.7082048314424434,0.23152489162800036,0.4640533447265625,0.22472388418103026,0.37,53.004353583225544
svd_yolo,0.01,0.006081614943032446,0.5646238825591609,100,49.85609334240446,5.399195205004298,0.9992077183245252,0.0006346969395759635,9.676432857940409,4.134705677588777,0.8743539308302278,0.18405356104640103,0.204720458984375,0.27628700951117097,0.73,46.983753669945926
svd_yolo,0.02,0.012163229886064893,0.5646238825591609,100,42.95321028047641,5.357388994520799,0.9981717069139527,0.0013438032649559137,14.105797068088252,4.379161266496619,0.9680786086965196,0.0646354501578833,0.07017631530761718,0.1670317852880045,0.91,40.96315375666631
svd_yolo,0.05,0.030408074715162235,0.5646238825591609,100,34.28853854880662,4.9277378723553245,0.9919806831149137,0.006281796267699628,18.06278435122365,4.979595629923478,0.9884661220994347,0.023769383063844622,0.01909187316894531,0.09563926710623374,0.97,33.00435358322555
svd_yolo,0.1,0.06081614943032447,0.5646238825591609,100,28.17128661276403,4.671227106663485,0.9741950660322746,0.018744690906574005,18.881683730086724,6.312428324561814,0.9839888014384555,0.02813571408621848,0.02343292236328125,0.11084981046543,0.94,26.98375366994593
